"name","gender","age","class","embarked","country","ticketno","fare","sibsp","parch","survived"
"Hodges, Mr. Henry Price","male",50,"2nd","S","England",250643,13,"0","0","no"
"Hogeboom, Mrs. Anna Louisa","female",51,"1st","C","United States",13502,77.1902,"1","0","yes"
"Hold, Mrs. Annie Margaret","female",29,"2nd","S","England",26707,26,"1","0","yes"
"Hold, Mr. Stephen","male",44,"2nd","S","England",26707,26,"1","0","no"
"Holm, Mr. John Fredrik Alexander","male",43,"3rd","S","Sweden",7075,6.09,"0","0","no"
"Holthen, Mr. Johan Martin","male",18,"3rd","S","Norway",4001,22.1006,"0","0","no"
"Holverson, Mr. Alexander Oskar","male",42,"1st","S","United States",113789,52,"1","0","no"
"Holverson, Mrs. Mary Aline","female",35,"1st","S","United States",113789,52,"1","0","yes"
"Homer, Mr. Harry","male",40,"1st","S","United States",111426,26.11,"0","0","yes"
"Honkanen, Miss. Eliina","female",27,"3rd","S","Finland",3101283,7.1806,"0","0","yes"
"Hood, Mr. Ambrose Jr","male",21,"2nd","S","England",14879,73.1,"0","0","no"
"Horgan, Mr. John","male",22,"3rd","Q",NA,370377,7.15,"0","0","no"
"Hosono, Mr. Masabumi","male",41,"2nd","S","Japan",237798,13,"0","0","yes"
"Howard, Miss. May Elizabeth","female",26,"3rd","S","England",39186,8.01,"0","0","yes"
"Howard, Mr. Benjamin","male",63,"2nd","S","England",24065,26,"1","0","no"
"Howard, Mrs. Ellen Truelove","female",61,"2nd","S","England",24065,26,"1","0","no"
"Hoyt, Mr. Frederick Maxfield","male",38,"1st","S","United States",19943,100,"1","0","yes"
"Hoyt, Mrs. Jane Anne","female",31,"1st","S","United States",19943,100,"1","0","yes"
"Hoyt, Mr. William Fisher","male",43,"1st","C","United States",17600,30.1311,"0","0","no"
"Humblen, Mr. Adolf Mathias Nicolai Olsen","male",42,"3rd","S","Norway",348121,7.13,"0","0","no"
"Hume, Mr. John Law","male",21,"2nd","S",NA,250654,NA,NA,NA,"no"
"Hunt, Mr. George Henry","male",34,"2nd","S","England",1585,12.0506,"0","0","no"
"Hyman, Mr. Abraham Joseph","male",34,"3rd","S","England",3470,7.1709,"0","0","yes"
"Ibrahim, Mr. Husayn Mahmud Husayn","male",11,"3rd","C",NA,2699,18.1509,"0","0","no"
"Ibrahim, Mrs. Safiyah","female",18,"3rd","C","Syria",2657,7.0407,"0","0","yes"
"Ibrahim Shawah, Mr. Yousseff","male",33,"3rd","C","Lebanon",2627,14.0902,"0","0","no"
"Icard, Miss. Rose Amélie","female",39,"1st","S",NA,113572,80,"0","0","yes"
"Ilett, Miss. Bertha","female",17,"2nd","S","Channel Islands",14885,10.1,"0","0","yes"
"Ilieff, Mr. Ylio","male",32,"3rd","S",NA,349220,7.1711,"0","0","no"
"Ilmakangas, Miss. Ida Livija","female",17,"3rd","S","United States",3101270,7.1806,"1","0","no"
"Ilmakangas, Miss. Pieta Sofia","female",25,"3rd","S","Finland",3101271,7.1806,"1","0","no"
"Isham, Miss. Ann Elizabeth","female",50,"1st","C","United States",17595,28.1403,"0","0","no"
"Ismay, Mr. Joseph Bruce","male",49,"1st","S","England",112058,NA,"0","0","yes"
"Ivanoff, Mr. Kanio","male",20,"3rd","S","Bulgaria",349201,7.1711,"0","0","no"
"Jabbur (Zabour), Miss. Hileni","female",16,"3rd","C",NA,2665,14.0901,"1","0","no"
"Jabbur (Zabour), Miss. Thamine","female",19,"3rd","C",NA,2665,14.0901,"1","0","no"
"Jacobsohn, Mrs. Amy Frances Christy","female",24,"2nd","S","England",243847,27,"2","1","yes"
"Jacobsohn, Mr. Sidney Samuel","male",42,"2nd","S","South Africa",243847,27,"1","0","no"
"Jalševac, Mr. Ivan","male",30,"3rd","C","Croatia (Modern)",349240,7.1711,"0","0","yes"
"Jansson, Mr. Carl Olof","male",21,"3rd","S","Sweden",350034,7.1511,"0","0","yes"
"Jardim, Mr. José Neto","male",21,"3rd","S",NA,3101305,7.01,"0","0","no"
"Jarvis, Mr. Denzil John","male",46,"2nd","S","Wales",237565,15,"0","0","no"
"Jefferys, Mr. Clifford Thomas","male",24,"2nd","S","England",31029,31.1,"2","0","no"
"Jefferys, Mr. Ernest Wilfred","male",21,"2nd","S","England",31029,31.1,"2","0","no"
"Jenkin, Mr. Stephen Curnow","male",32,"2nd","S","England",33111,10.1,"0","0","no"
"Jensen, Mr. Hans Peder","male",20,"3rd","S","Denmark",350050,7.1701,"0","0","no"
"Jensen, Mr. Niels Rasmus","male",48,"3rd","S","Denmark",350048,7.0101,"0","0","no"
"Jensen, Mr. Svend Lauritz","male",17,"3rd","S","Denmark",350047,7.1701,"1","0","no"
"Jermyn, Miss. Annie Jane","female",26,"3rd","Q","Ireland",14313,7.15,"0","0","yes"
"Jerwan, Mrs. Marie Marthe","female",23,"2nd","C","United States",541,13.151,"0","0","yes"
"Johannesen, Mr. Bernt Johannes","male",29,"3rd","S","Norway",65306,8.0203,"0","0","yes"
"Johanson, Mr. Jakob Alfred","male",34,"3rd","S","Finland",3101264,6.0911,"0","0","no"
"Johansson, Mr. Erik","male",22,"3rd","S","Sweden",350052,7.1511,"0","0","no"
"Johansson, Mr. Gustaf Joel","male",33,"3rd","S","Sweden",7540,8.1301,"0","0","no"
"Johansson, Mr. Karl Johan","male",31,"3rd","S","United States",347063,7.1506,"0","0","no"
"Johansson, Mr. Nils","male",29,"3rd","S","United States",347467,7.1701,"0","0","no"
"Johansson Palmquist, Mr. Oskar Leander","male",26,"3rd","S","Sweden",347070,7.1506,"0","0","yes"
"Johnson, Master. Harold Theodor","male",4,"3rd","S",NA,347742,11.0208,"1","1","yes"
"Johnson, Miss. Eleanor Ileen","female",1,"3rd","S",NA,347742,11.0208,"1","1","yes"
"Johnson, Mr. August","male",49,"3rd","S","United States",370160,NA,NA,NA,"no"
"Johnson, Mr. Malkolm Joackim","male",33,"3rd","S","United States",347062,7.1506,"0","0","no"
"Johnson, Mrs. Elisabeth Vilhelmina","female",26,"3rd","S",NA,347742,11.0208,"0","2","yes"
"Johnson, Mr. William Cahoone Jr.","male",19,"3rd","S","United States",370160,NA,"0","0","no"
"Johnston, Master. William Andrew","male",8,"3rd","S","England",6607,23.09,"1","2","no"
"Johnston, Miss. Catherine Nellie","female",7,"3rd","S","England",6607,23.09,"1","2","no"
"Johnston, Mr. Andrew Emslie","male",35,"3rd","S","Scotland",6607,23.09,"1","2","no"
"Johnston, Mrs. Eliza","female",36,"3rd","S","Scotland",6607,23.09,"1","2","no"
"Jones, Mr. Charles Cresson","male",46,"1st","S","United States",694,26,"0","0","no"
"Jonkoff, Mr. Lalio","male",23,"3rd","S","Bulgaria",349204,7.1711,"0","0","no"
"Jonsson, Mr. Carl","male",25,"3rd","S","Sweden",350417,7.1701,"0","0","yes"
"Jönsson, Mr. Nils Hilding","male",27,"3rd","S","Sweden",350408,7.1701,"0","0","no"
"Joseph (Shahin), Mr. Elias","male",39,"3rd","C","Lebanon",2675,7.0407,"0","2","no"
"Julian, Mr. Henry Forbes","male",50,"1st","S","England",113044,26,"0","0","no"
"Jussila, Miss. Katriina","female",20,"3rd","S","Finland",4136,9.161,"1","0","no"
"Jussila, Miss. Mari Aina","female",21,"3rd","S","Finland",4137,9.161,"1","0","no"
"Jussila, Mr. Eiriik","male",32,"3rd","S","Finland",3101286,7.1806,"0","0","yes"
"Kallio, Mr. Nikolai Erland","male",17,"3rd","S","Finland",3101274,7.0206,"0","0","no"
"Kalvik, Mr. Johannes Halvorsen","male",21,"3rd","S","Norway",8475,8.0808,"0","0","no"
"Kantor, Mr. Sinai","male",34,"2nd","S","Russia",244367,26,"1","0","no"
"Kantor, Mrs. Miriam","female",24,"2nd","S","Russia",244367,26,"1","0","yes"
"Karajic, Mr. Milan","male",30,"3rd","S","Hungary",349246,7.1711,"0","0","no"
"Karlsson, Mr. Einar Gervasius","male",21,"3rd","S","Sweden",350053,7.1511,"0","0","yes"
"Karlsson, Mr. Julius Konrad Eugen","male",33,"3rd","S","Sweden",347465,7.1701,"0","0","no"
"Karlsson, Mr. Nils August","male",22,"3rd","S","Sweden",350060,7.1005,"0","0","no"
"Karnes, Mrs. Claire","female",22,"2nd","S","United States",13534,21,"0","0","no"
"Karun, Miss. Manca","female",5,"3rd","C","Slovenia",349256,13.0804,"0","1","yes"
"Karun, Mr. Franz","male",39,"3rd","C","United States",349256,13.0804,"0","1","yes"
"Katavelos, Mr. Vasilios G.","male",19,"3rd","C","Greece",2682,7.0407,"0","0","no"
"Keane, Miss. Nora Agnes","female",46,"2nd","Q","Ireland",226593,12.07,"0","0","yes"
"Keane, Mr. Andrew","male",23,"3rd","Q","Ireland",12460,7.15,"0","0","no"
"Keane, Mr. Daniel","male",35,"2nd","Q","Ireland",233734,12.07,"0","0","no"
"Keefe, Mr. Arthur","male",39,"3rd","S","United States",323592,7.05,"0","0","no"
"Keeping, Mr. Edwin Herbert","male",33,"1st","S","England",113503,211.1,"0","0","no"
"Kelly, Miss. Anna Katherine","female",20,"3rd","Q","Ireland",9234,7.15,"0","0","yes"
"Kelly, Miss. Mary","female",22,"3rd","Q","Ireland",14312,7.15,"0","0","yes"
"Kelly, Mr. James","male",19,"3rd","S","Scotland",363592,8.01,"0","0","no"
"Kelly, Mr. James","male",44,"3rd","Q","Ireland",330911,7.1607,"0","0","no"
"Kelly, Mr. James","male",44,"engineering crew","S","England",NA,NA,NA,NA,"no"
"Kelly, Mrs. Fanny Maria","female",49,"2nd","S","England",223596,13.1,"0","0","yes"
"Kennedy, Mr. John","male",24,"3rd","Q","Ireland",368783,7.15,"0","0","yes"
"Kent, Mr. Edward Austin","male",58,"1st","C","United States",11771,29.14,"0","0","no"
"Kenyon, Mr. Frederick Roland","male",41,"1st","S","United States",17464,51.1703,"1","0","no"
"Kenyon, Mrs. Marion Estelle","female",40,"1st","S","United States",17464,51.1703,"1","0","yes"
"Khalil, Mr. Betros","male",25,"3rd","C","Lebanon",2660,14.0901,"1","0","no"
"Khalil, Mrs. Zahie","female",20,"3rd","C","Lebanon",2660,14.0901,"1","0","no"
"Kiernan, Mr. John Joseph","male",25,"3rd","Q","Ireland",367227,7.15,"1","0","no"
"Kiernan, Mr. Philip","male",22,"3rd","Q","Ireland",367229,7.15,"1","0","no"
"Kilgannon, Mr. Thomas","male",22,"3rd","Q","Ireland",36865,7.1409,"0","0","no"
"Kimball, Mr. Edwin Nelson Jr.","male",42,"1st","S","United States",11753,52.1101,"1","0","yes"
"Kimball, Mrs. Susan Gertrude","female",45,"1st","S","United States",11753,52.1101,"1","0","yes"
"Kink-Heilmann, Miss. Luise Gretchen","female",4,"3rd","S","Switzerland",315153,22,"0","2","yes"
"Kink-Heilmann, Mrs. Luise","female",26,"3rd","S","Switzerland",315153,22,"1","1","yes"
"Kink, Miss. Maria","female",23,"3rd","S","Switzerland",315152,8.1303,"2","0","no"
"Kink, Mr. Anton","male",29,"3rd","S","Switzerland",315153,22,"3","1","yes"
"Kink, Mr. Vincenz","male",26,"3rd","S","Switzerland",315151,8.1303,"2","0","no"
"Kirkland, Fr. Charles Leonard","male",52,"2nd","Q","United States",219533,12.07,"0","0","no"
"Klaber, Mr. Herman","male",41,"1st","S","United States",113028,26.11,"0","0","no"
"Klasén, Miss. Gertrud Emilia","female",1,"3rd","S","Sweden",350405,12.0308,"1","1","no"
"Klasén, Mr. Klas Albin","male",18,"3rd","S","Sweden",350404,7.1701,"1","1","no"
"Klasén, Mrs. Hulda Kristina Eugenia","female",36,"3rd","S","Sweden",350405,12.0308,"0","2","no"
"Knight, Mr. Robert","male",41,"2nd","B","Northern Ireland",239855,NA,"0","0","no"
"Kraeff, Mr. Theodor","male",NA,"3rd","C","Bulgaria",349253,7.1711,"0","0","no"
"Krekorian, Mr. Neshan","male",25,"3rd","C","Turkey",2654,7.0407,"0","0","yes"
"Kreuchen, Miss. Emilie","female",29,"1st","S",NA,24160,211.0609,"0","0","yes"
"Krins, Mr. Georges Alexandre","male",23,"2nd","S","England",250654,NA,NA,NA,"no"
"Kutscher (Lithman), Mr. Simon","male",26,"3rd","S","Scotland",251,7.11,"0","0","no"
"Kvillner, Mr. Johan Henrik Johannesson","male",31,"2nd","S","Sweden",18723,10.1,"0","0","no"
"Lahhud Ishaq Mu'awwad, Mr. Sarkis","male",35,"3rd","C","Lebanon",2624,7.0406,"0","0","no"
"Lahtinen, Fr. William","male",35,"2nd","S","United States",250651,26,"1","1","no"
"Lahtinen, Mrs. Anna Amelia","female",34,"2nd","S","United States",250651,26,"1","1","no"
"Laitinen, Miss. Kristina Sofia","female",37,"3rd","S","Finland",4135,9.1109,"0","0","no"
"Lamb, Mr. John J.","male",31,"2nd","Q","Ireland",240261,10.1402,"0","0","no"
"Lam, Mr. Ali","male",38,"3rd","S","China/Hong Kong",1601,56.0911,"0","0","yes"
"Lam, Mr. Len","male",23,"3rd","S",NA,1601,56.0911,"0","0","no"
"Landergren, Miss. Aurora Adelia","female",22,"3rd","S","Sweden",7077,7.05,"0","0","yes"
"Lane, Mr. Patrick","male",17,"3rd","Q","Ireland",7935,7.15,"0","0","no"
"Lang, Mr. Fang","male",32,"3rd","S",NA,1601,56.0911,"0","0","yes"
"Laroche, Miss. Louise","female",1,"2nd","C","France",2123,41.1107,"1","2","yes"
"Laroche, Miss. Simonne Marie Anne Andrée","female",3,"2nd","C","France",2123,41.1107,"1","2","yes"
"Laroche, Mr. Joseph Philippe Lemercier","male",25,"2nd","C","France",2123,41.1107,"1","2","no"
"Laroche, Mrs. Juliette Marie Louise","female",22,"2nd","C","France",2123,41.1107,"1","2","yes"
"Larsson, Mr. August Viktor","male",29,"3rd","S","United States",7545,9.0908,"0","0","no"
"Larsson, Mr. Bengt Edvin","male",29,"3rd","S","Sweden",347067,7.1506,"0","0","no"
"Larsson, Mr. Edvard","male",22,"3rd","S","Sweden",347065,7.1506,"0","0","no"
"Leader, Dr. Alice May","female",49,"1st","S","United States",17465,25.1807,"0","0","yes"
"Lefebvre, Master. Henry","male",5,"3rd","S",NA,4133,25.0904,"3","1","no"
"Lefebvre, Miss. Ida","female",3,"3rd","S",NA,4133,25.0904,"3","1","no"
"Lefebvre, Miss. Jeannie","female",8,"3rd","S",NA,4133,25.0904,"3","1","no"
"Lefebvre, Miss. Mathilde","female",12,"3rd","S",NA,4133,25.0904,"3","1","no"
"Lefebvre, Mrs. Frances Marie","female",40,"3rd","S",NA,4133,25.0904,"0","4","no"
"Lehmann, Miss. Bertha","female",17,"2nd","C","Switzerland",1748,12,"0","0","yes"
"Leinonen, Mr. Antti Gustaf","male",32,"3rd","S","Finland",3101292,7.1806,"0","0","no"
"Leitch, Miss. Jessie Wills","female",31,"2nd","S","Scotland",248727,33,"0","0","yes"
"Lemore, Mrs. Amelia","female",39,"2nd","S","England",34260,10.1,"0","0","yes"
"Lennon, Miss. Mary","female",18,"3rd","Q","Ireland",370371,15.1,"1","0","no"
"Lennon, Mr. Denis","male",20,"3rd","Q","Ireland",370371,15.1,"1","0","no"
"Leroy, Miss. Berthe","female",27,"1st","C","France",17761,106.0806,"0","0","yes"
"Lester, Mr. James","male",41,"3rd","S","England",48871,24.03,"0","0","no"
"Lesueur, Mr. Gustave J.","male",35,"1st","C",NA,17755,512.0607,"0","0","yes"
"Lévy, Mr. René Jacques","male",37,"2nd","S","Canada",2163,12.1706,"0","0","no"
"Lewy, Mr. Ervin G.","male",30,"1st","C","United States",17612,27.1405,"0","0","no"
"Leyson, Mr. Robert William Norman","male",25,"2nd","S","England",29566,10.1,"0","0","no"
"Lievens, Mr. René Aimé","male",24,"3rd","S","Belgium",345781,9.1,"0","0","no"
"Lindahl, Miss. Agda Thorilda Viktoria","female",25,"3rd","S","Sweden",347071,7.1506,"0","0","no"
"Lindblom, Miss. Augusta Charlotta","female",45,"3rd","S","England",347073,7.15,"0","0","no"
"Lindeberg-Lind, Mr. Erik Gustaf","male",42,"1st","S","Sweden",17475,26.11,"0","0","no"
"Lindell, Mr. Edvard Bengtsson","male",36,"3rd","S","Sweden",349910,15.11,"1","0","no"
"Lindell, Mrs. Elin Gerda","female",30,"3rd","S","Sweden",349910,15.11,"1","0","no"
"Lindqvist, Mr. Eino William","male",20,"3rd","S","Finland",3101285,7.1806,"1","0","yes"
"Lindström, Mrs. Sigrid","female",55,"1st","C","Sweden",112377,27.1405,"0","0","yes"
"Linehan, Mr. Michael","male",21,"3rd","Q","Ireland",330971,7.1707,"0","0","no"
"Lines, Miss. Mary Conover","female",16,"1st","C","France",17592,39.08,"0","1","yes"
"Lines, Mrs. Elizabeth Lindsey","female",50,"1st","C","United States",17592,39.08,"0","1","yes"
"Lingane, Mr. John","male",61,"2nd","Q","Ireland",235509,12.07,"0","0","no"
"Ling, Mr. Lee","male",28,"3rd","S",NA,1601,56.0911,"0","0","no"
"Linhart, Mr. Wenzel","male",27,"3rd","S","Austria",345775,9.1,"0","0","no"
"Livshin, Mr. David","male",25,"3rd","S","Latvia",374887,7.05,"0","0","no"
"Lobb, Mrs. Cordelia","female",34,"3rd","S","England",3336,16.02,"1","0","no"
"Lobb, Mr. William Arthur","male",31,"3rd","S","England",3336,16.02,"1","0","no"
"Lockyer, Mr. Edward Thomas","male",19,"3rd","S","England",1222,7.1707,"0","0","no"
"Longley, Miss. Gretchen Fiske","female",21,"1st","C","United States",13502,77.1902,"0","0","yes"
"Long, Mr. Milton Clyde","male",29,"1st","S","United States",113501,30,"0","0","no"
"Loring, Mr. Joseph Holland","male",30,"1st","S","United States",113801,45.1,"0","0","no"
"Louch, Mr. Charles","male",50,"2nd","S","England",3085,26,"1","0","no"
"Louch, Mrs. Alice Adelaide","female",43,"2nd","S","England",3085,26,"1","0","yes"
"Lovell, Mr. John Hall","male",20,"3rd","S","England",21173,7.05,"0","0","no"
"Lulic, Mr. Nikola","male",29,"3rd","S","Croatia (Modern)",315098,8.1303,"0","0","yes"
"Lundahl, Mr. Johan Svensson","male",50,"3rd","S","Sweden",347743,7.0101,"0","0","no"
"Lundin, Miss. Olga Elida","female",23,"3rd","S","United States",347469,7.1701,"0","0","yes"
"Lundström, Mr. Thure Edvin","male",32,"3rd","S","Sweden",350403,7.1107,"0","0","yes"
"Lurette, Miss. Eugénie Elise","female",59,"1st","C","France",17569,146.1005,"0","0","yes"
"Lymperopoulus, Mr. Panagiotis K.","male",30,"3rd","C","Greece",2683,6.0809,"0","0","no"
"Lyntakoff, Mr. Stanko","male",44,"3rd","S",NA,349235,7.1711,"0","0","no"
"MacKay, Mr. George William","male",20,"3rd","S","Scotland",42795,7.11,"0","0","no"
"Mack, Mrs. Mary","female",57,"2nd","S","England",3,10.1,"0","0","no"
"Madigan, Miss. Margaret","female",21,"3rd","Q","Ireland",370370,7.15,"0","0","yes"
"Madill, Miss. Georgette Alexandra","female",16,"1st","S","United States",24160,211.0609,"0","1","yes"
"Madsen, Mr. Fridtjof Arne","male",24,"3rd","S","Norway",17369,7.021,"0","0","yes"
"Mäenpää, Mr. Matti Alexanteri","male",22,"3rd","S","Finland",3101275,7.0206,"0","0","no"
"Maguire, Mr. John Edward","male",30,"1st","S","United States",110469,26,"0","0","no"
"Mahon, Miss. Bridget Delia","female",20,"3rd","Q","Ireland",330924,7.1707,"0","0","no"
"Maioni, Miss. Roberta Elizabeth Mary","female",20,"1st","S","England",110152,86.1,"0","0","yes"
"Maisner, Mr. Simon","male",34,"3rd","S","England",2816,8.01,"0","0","no"
"Mäkinen, Mr. Kalle Edvard","male",29,"3rd","S","Finland",3101268,7.1806,"0","0","no"
"Malachard, Mr. Jean-Noël","male",25,"2nd","C","France",237735,15,"0","0","no"
"Mallet, Master. André Clement","male",1,"2nd","C","France",2079,37,"0","2","yes"
"Mallet, Mr. Albert Denis Pierre","male",45,"2nd","C","France",2079,37,"1","1","no"
"Mallet, Mrs. Antonine Marie","female",24,"2nd","C","France",2079,37,"1","1","yes"
"Mama, Mr. Hanna Mika'il","male",18,"3rd","C","Lebanon",2677,7.0407,"0","0","yes"
"Mangan, Miss. Mary","female",32,"3rd","Q","Ireland",364850,7.15,"0","0","no"
"Mangiavacchi, Mr. Serafino Emilio","male",30,"2nd","C","United States",32861,15.1107,"0","0","no"
"Mannion, Miss. Margaret","female",28,"3rd","Q","Ireland",36866,7.1409,"0","0","yes"
"Mardirosian, Mr. Sarkis","male",25,"3rd","C","Turkey",2655,7.0407,"0","0","no"
"Maréchal, Mr. Pierre","male",29,"1st","C","France",11774,29.14,"0","0","yes"
"Marinko, Mr. Dmitri","male",23,"3rd","S","Yugoslavia",349238,7.1711,"0","0","no"
"Markoff, Mr. Marin","male",35,"3rd","S","Bulgaria",349213,7.1711,"0","0","no"
"Markun, Mr. Johann","male",33,"3rd","C","Slovenia",349257,7.1711,"0","0","no"
"Marvin, Mr. Daniel Warner","male",18,"1st","S","United States",113773,53.02,"1","0","no"
"Marvin, Mrs. Mary Graham Carmichael","female",18,"1st","S","Scotland",113773,53.02,"1","0","yes"
"Matinoff, Mr. Nicola","male",30,"3rd","C","Bulgaria",349255,7.1711,"0","0","no"
"Matthews, Mr. William John","male",23,"2nd","S","England",28228,13,"0","0","no"
"Maybery, Mr. Frank Hubert","male",36,"2nd","S","England",239059,16,"0","0","no"
"Mayné, Mlle. Berthe Antonine","female",24,"1st","C","Belgium",17482,49.1001,"0","0","yes"
"McCaffry, Mr. Thomas Francis","male",46,"1st","S","Canada",13050,75.041,"0","0","no"
"McCarthy, Miss. Catherine","female",25,"3rd","Q","Ireland",383123,7.15,"0","0","yes"
"McCarthy, Mr. Timothy J.","male",55,"1st","S","United States",17463,51.1703,"0","0","no"
"McCormack, Mr. Thomas Joseph","male",19,"3rd","Q","United States",367228,7.15,"0","0","yes"
"McCoy, Miss. Agnes","female",29,"3rd","Q","Ireland",367226,23.05,"2","0","yes"
"McCoy, Miss. Alice","female",26,"3rd","Q","Ireland",367226,23.05,"2","0","yes"
"McCoy, Mr. Bernard","male",24,"3rd","Q","Ireland",367226,23.05,"2","0","yes"
"McCrae, Mr. Arthur Gordon","male",32,"2nd","S","Australia",237216,13.1,"0","0","no"
"McCrie, Mr. James Matthew","male",32,"2nd","S","Canada",233478,13,"0","0","no"
"McDermott, Miss. Bridget Delia","female",31,"3rd","Q","Ireland",330932,7.1508,"0","0","yes"
"McEvoy, Mr. Michael","male",20,"3rd","Q","Ireland",36568,15.1,"0","0","no"
"McGough, Mr. James Robert","male",35,"1st","S","Ireland",17473,26.0509,"0","0","yes"
"McGovern, Ms. Mary","female",22,"3rd","Q","Ireland",330931,7.1707,"0","0","yes"
"McGowan, Miss. Anna Louise","female",17,"3rd","Q","United States",330923,8,"0","0","yes"
"McGowan, Miss. Catherine","female",42,"3rd","Q","Ireland",9232,7.15,"0","0","no"
"McKane, Mr. Peter Daniel","male",46,"2nd","S","Channel Islands",28403,26,"0","0","no"
"McMahon, Mr. Martin","male",19,"3rd","Q","Ireland",370372,7.15,"0","0","no"
"McNamee, Mr. Neal","male",27,"3rd","S","England",376566,16.02,"1","0","no"
"McNamee, Mrs. Eileen","female",19,"3rd","S","England",376566,16.02,"1","0","no"
"McNeill, Miss. Bridget","female",32,"3rd","Q","Ireland",370368,7.15,"0","0","no"
"Meanwell, Mrs. Marian","female",62,"3rd","S","England",392087,8.01,"0","0","no"
"Meehan, Mr. John","male",22,"3rd","Q","Ireland",3130,7.15,"0","0","no"
"Meek, Mrs. Annie Louisa","female",32,"3rd","S","England",343095,8.01,"0","0","no"
"Mellinger, Miss. Violet Madeline","female",13,"2nd","S","England",250644,19.1,"0","1","yes"
"Mellinger, Mrs. Elizabeth Anne","female",42,"2nd","S","England",250644,19.1,"0","1","yes"
"Mellors, Mr. William John","male",19,"2nd","S","England",751,10.1,"0","0","yes"
"Meo (Martino), Mr. Alfonzo","male",48,"3rd","S","Italy",11206,8.01,"0","0","no"
"Mernagh, Mr. Robert","male",28,"3rd","Q","Ireland",368703,7.15,"0","0","no"
"Meyer, Mr. August","male",31,"2nd","S","England",248723,13,"0","0","no"
"Meyer, Mr. Edgar Joseph","male",28,"1st","C","United States",17604,82.0305,"1","0","no"
"Meyer, Mrs. Leila","female",25,"1st","C","United States",17604,82.0305,"1","0","yes"
"Midtsjø, Mr. Karl Albert","male",21,"3rd","S","Norway",345501,7.1506,"0","0","yes"
"Mihoff, Mr. Stoytcho","male",28,"3rd","S","Bulgaria",349207,7.1711,"0","0","no"
"Miles, Mr. Frank","male",23,"3rd","S","England",359306,8.01,"0","0","no"
"Millet, Mr. Francis Davis","male",65,"1st","C","United States",13509,26.11,"0","0","no"
"Milling, Mr. Jacob Christian","male",48,"2nd","S","Denmark",234360,13,"0","0","no"
"Minahan, Dr. William Edward","male",44,"1st","Q","United States",19928,90,"2","0","no"
"Minahan, Miss. Daisy E.","female",33,"1st","Q","United States",19928,90,"1","0","yes"
"Minahan, Mrs. Lillian E.","female",37,"1st","Q","United States",19928,90,"1","0","yes"
"Mineff, Mr. Ivan","male",24,"3rd","S",NA,349233,7.1711,"0","0","no"
"Minkoff, Mr. Lazar","male",21,"3rd","S","Bulgaria",349211,7.1711,"0","0","no"
"Mitchell, Mr. Henry Michael","male",72,"2nd","S","England",24580,10.1,"0","0","no"
"Mitkoff, Mr. Mito","male",23,"3rd","S",NA,349221,7.1711,"0","0","no"
"Mockler, Miss. Ellen Mary","female",23,"3rd","Q","Ireland",330980,7.1707,"0","0","yes"
"Mock, Mr. Philipp Edmund","male",30,"1st","C","United States",13236,57.15,"1","0","yes"
"Moen, Mr. Sigurd Hansen","male",27,"3rd","S","Norway",348123,7.13,"0","0","no"
"Molson, Mr. Harry Markland","male",55,"1st","S","Canada",113787,30.1,"0","0","no"
"Montvila, Fr. Juozas","male",27,"2nd","S","England",211536,13,"0","0","no"
"Moore, Mr. Clarence Bloomfield","male",47,"1st","S","United States",113796,42.08,"0","0","no"
"Moore, Mr. Leonard Charles","male",19,"3rd","S","England",54510,8.01,"0","0","no"
"Moor, Master. Meier","male",7,"3rd","S",NA,392096,12.0906,"0","1","yes"
"Moor, Mrs. Beila","female",29,"3rd","S",NA,392096,12.0906,"0","1","yes"
"Moran, Miss. Bridget","female",28,"3rd","Q","Ireland",371110,24.03,"1","0","yes"
"Moran, Mr. Daniel J.","male",28,"3rd","Q","Ireland",371110,24.03,"1","0","no"
"Moraweck, Dr. Ernest","male",54,"2nd","S","United States",29011,14,"0","0","no"
"Morley, Mr. Henry Samuel","male",38,"2nd","S","England",250655,26,"0","0","no"
"Morley, Mr. William","male",34,"3rd","S","England",364506,8.01,"0","0","no"
"Morrow, Mr. Thomas Rowan","male",30,"3rd","Q","Ireland",372622,7.15,"0","0","no"
"Moss, Mr. Albert Johan","male",29,"3rd","S","Norway",312991,7.1506,"0","0","yes"
"Moussa, Mrs. Mantoura Boulos","female",35,"3rd","C","Lebanon",2626,7.0407,"0","0","yes"
"Moutal, Mr. Rahamin Haim","male",28,"3rd","S","England",374746,8.01,"0","0","no"
"Mubarik, Master. Halim","male",4,"3rd","C","Lebanon",2661,15.0411,"1","1","yes"
"Mubarik, Master. Jirjis","male",7,"3rd","C","Lebanon",2661,15.0411,"1","1","yes"
"Mubarik, Mrs. Aminah","female",25,"3rd","C","Lebanon",2661,15.0411,"0","2","yes"
"Mudd, Mr. Thomas Cupper","male",17,"2nd","S","England",3,10.1,"0","0","no"
"Mullin, Miss. Catherine","female",21,"3rd","Q","Ireland",35852,7.1408,"0","0","yes"
"Mulvihill, Miss. Bridget Elizabeth","female",25,"3rd","Q","Ireland",382653,7.15,"0","0","yes"
"Murdlin, Mr. Joseph","male",22,"3rd","S","England",3235,8.01,"0","0","no"
"Murphy, Miss. Catherine","female",18,"3rd","Q","Ireland",367230,15.1,"1","0","yes"
